SampleID,Type,Treatment
A1DNA,DNA,ABA
A1RNA,RNA,ABA
A2DNA,DNA,ABA
A2RNA,RNA,ABA
A3DNA,DNA,ABA
A3RNA,RNA,ABA
A4DNA,DNA,ABA
A4RNA,RNA,ABA
A5DNA,DNA,ABA
A5RNA,RNA,ABA
C1DNA,DNA,Control
C1RNA,RNA,Control
C2DNA,DNA,Control
C2RNA,RNA,Control
C3DNA,DNA,Control
C3RNA,RNA,Control
C4DNA,DNA,Control
C4RNA,RNA,Control
C5DNA,DNA,Control
C5RNA,RNA,Control
I1DNA,DNA,IAA
I1RNA,RNA,IAA
I2DNA,DNA,IAA
I2RNA,RNA,IAA
I3DNA,DNA,IAA
I3RNA,RNA,IAA
I4DNA,DNA,IAA
I4RNA,RNA,IAA
I5DNA,DNA,IAA
I5RNA,RNA,IAA
J1DNA,DNA,JA
J1RNA,RNA,JA
J2DNA,DNA,JA
J2RNA,RNA,JA
J3DNA,DNA,JA
J3RNA,RNA,JA
J4DNA,DNA,JA
J4RNA,RNA,JA
J5DNA,DNA,JA
J5RNA,RNA,JA
Post1DNA,DNA,Post-dry
Post1RNA,RNA,Post-dry
Post2DNA,DNA,Post-dry
Post2RNA,RNA,Post-dry
Post3DNA,DNA,Post-dry
Post3RNA,RNA,Post-dry
Post4DNA,DNA,Post-dry
Post4RNA,RNA,Post-dry
Post5DNA,DNA,Post-dry
Post5RNA,RNA,Post-dry
Pre1DNA,DNA,Pre-dry
Pre1RNA,RNA,Pre-dry
Pre2DNA,DNA,Pre-dry
Pre2RNA,RNA,Pre-dry
Pre3DNA,DNA,Pre-dry
Pre3RNA,RNA,Pre-dry
Pre4DNA,DNA,Pre-dry
Pre4RNA,RNA,Pre-dry
Pre5DNA,DNA,Pre-dry
Pre5RNA,RNA,Pre-dry
S1DNA,DNA,SA
S1RNA,RNA,SA
S2DNA,DNA,SA
S2RNA,RNA,SA
S3DNA,DNA,SA
S3RNA,RNA,SA
S4DNA,DNA,SA
S4RNA,RNA,SA
S5DNA,DNA,SA
S5RNA,RNA,SA
Wat1DNA,DNA,Post-water
Wat1RNA,RNA,Post-water
Wat2DNA,DNA,Post-water
Wat2RNA,RNA,Post-water
Wat3DNA,DNA,Post-water
Wat3RNA,RNA,Post-water
Wat4DNA,DNA,Post-water
Wat4RNA,RNA,Post-water
Wat5DNA,DNA,Post-water
Wat5RNA,RNA,Post-water
